"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1291","[AQAPRACT-540] Validation of empty ""Password"" field on sign in page","chromium","Thu Nov 20 07:49:27 UTC 2025","passed","Thu Nov 20 07:49:29 UTC 2025","SignIn Page Password Field Validation","signIn.spec.ts","",""
"","2377","[AQAPRACT-518] First name with spaces","chromium","Thu Nov 20 07:49:25 UTC 2025","passed","Thu Nov 20 07:49:27 UTC 2025","Registration Tests > First Name Field Validations","registration.spec.ts","",""
"","2895","[AQAPRACT-514] Max length first name (255 characters)","chromium","Thu Nov 20 07:49:21 UTC 2025","passed","Thu Nov 20 07:49:24 UTC 2025","Registration Tests > First Name Field Validations","registration.spec.ts","",""
"","1400","[AQAPRACT-539] Validation of empty ""Email"" field on ""Sign in"" page","chromium","Thu Nov 20 07:49:27 UTC 2025","passed","Thu Nov 20 07:49:28 UTC 2025","SignIn Page Email Field Validation Test","signIn.spec.ts","",""
"","2049","[AQAPRACT-507] Availability of links Register/sign in in sign in page","chromium","Thu Nov 20 07:49:21 UTC 2025","passed","Thu Nov 20 07:49:23 UTC 2025","Registration Tests","registration.spec.ts","",""
"","2377","[AQAPRACT-535] Sign in with invalid email and valid password","chromium","Thu Nov 20 07:49:25 UTC 2025","passed","Thu Nov 20 07:49:27 UTC 2025","SignIn Page validations Tests","signIn.spec.ts","",""
"","2293","[AQAPRACT-537] Sign in with invalid email and invalid password","chromium","Thu Nov 20 07:49:26 UTC 2025","passed","Thu Nov 20 07:49:28 UTC 2025","SignIn Page validations Tests","signIn.spec.ts","",""
"","1403","[AQAPRACT-543] Validation of ""Password"" on 7 characters","chromium","Thu Nov 20 07:49:27 UTC 2025","passed","Thu Nov 20 07:49:29 UTC 2025","SignIn Page Password Field Validation","signIn.spec.ts","",""
"","1750","[AQAPRACT-517] Empty first name","chromium","Thu Nov 20 07:49:24 UTC 2025","passed","Thu Nov 20 07:49:26 UTC 2025","Registration Tests > First Name Field Validations","registration.spec.ts","",""
"","1270","[AQAPRACT-538] Sign in with email address with invalid format","chromium","Thu Nov 20 07:49:27 UTC 2025","passed","Thu Nov 20 07:49:28 UTC 2025","SignIn Page validations Tests","signIn.spec.ts","",""
"","2993","[AQAPRACT-508] Successful registration with valid data","chromium","Thu Nov 20 07:49:21 UTC 2025","passed","Thu Nov 20 07:49:24 UTC 2025","Registration Tests","registration.spec.ts","",""
"","1437","[AQAPRACT-544] Validation of ""Password"" on 20 characters","chromium","Thu Nov 20 07:49:28 UTC 2025","passed","Thu Nov 20 07:49:29 UTC 2025","SignIn Page Password Field Validation","signIn.spec.ts","",""
"","2791","[AQAPRACT-515] Min length first name (1 character)","chromium","Thu Nov 20 07:49:21 UTC 2025","passed","Thu Nov 20 07:49:24 UTC 2025","Registration Tests > First Name Field Validations","registration.spec.ts","",""
"","2546","[AQAPRACT-516] First name exceeding max length (256 characters)","chromium","Thu Nov 20 07:49:21 UTC 2025","passed","Thu Nov 20 07:49:24 UTC 2025","Registration Tests > First Name Field Validations","registration.spec.ts","",""
"","2353","[AQAPRACT-536] Sign in with valid email and invalid password","chromium","Thu Nov 20 07:49:25 UTC 2025","passed","Thu Nov 20 07:49:27 UTC 2025","SignIn Page validations Tests","signIn.spec.ts","",""
"","1594","[AQAPRACT-534] Sign in with valid email and password","chromium","Thu Nov 20 07:49:25 UTC 2025","passed","Thu Nov 20 07:49:27 UTC 2025","SignIn Page validations Tests","signIn.spec.ts","",""
